Ch_1,Ch_2,Ch_3,Ch_4,Sample
-15.033,-11.193,-28.194,-26.433,145
-26.543,-23.505,-40.397,-37.902,146
-29.021,-18.989,-43.9,-41.851,147
-38.236,-28.868,-56.095,-51.66,148
-25.953,-11.153,-39.683,-40.53,149
-22.644,-11.341,-39.91,-40.731,150
-14.137,-5.0883,-33.975,-30.213,151
-13.58,-13.031,-31.015,-30.922,152
-14.657,-12.021,-28.755,-31.909,153
-15.42,-13.005,-25.245,-23.439,154
-5.8923,-9.9823,-14.535,-6.267,155
-4.3496,-8.7673,-8.2837,-0.16764,156
-10.626,-20.556,-12.229,-7.8346,157
-13.172,-14.252,-15.141,-13.628,158
-15.639,-22.667,-23.602,-24.005,159
-1.8167,-6.2258,-17.49,-17.962,160
-1.9453,-6.8806,-18.376,-15.514,161
7.6797,4.2565,-3.0704,0.084441,162
0.36944,-8.7608,-6.8493,-0.44256,163
7.0104,-0.67506,-2.5885,9.1422,164
16.338,-4.7057,0.28191,13.207,165
24.706,2.1428,14.225,19.78,166
9.387,-17.786,8.3944,13.456,167
5.6263,-21.854,10.767,16.795,168
6.6743,-20.092,15.204,21.23,169
3.0863,-23.336,14.402,20.855,170
7.5318,-19.612,21.812,27.808,171
11.985,-18.708,21.781,27.794,172
6.6723,-9.0879,13.179,18.977,173
-0.9715,-22.613,-0.82896,6.2699,174
21.241,27.627,19.438,11.57,175
19.27,22.515,22.589,10.06,176
29.867,32.69,32.451,19.399,177
26.402,23.395,32.935,21.584,178
31.835,25.483,40.634,32.238,179
29.275,27.208,40.386,33.466,180
27.599,14.864,38.853,36.958,181
34.062,27.843,40.752,40.145,182
22.932,17.217,34.307,34.759,183
27.268,21.475,46.711,44.71,184
29.837,10.775,41.483,39.582,185
32.063,25.013,41.073,38.721,186
25.589,17.499,36.408,31.991,187
26.758,24.303,41.482,31.079,188
12.375,10.234,29.831,16.042,189
19.611,17.935,34.181,21.219,190
22.065,10.279,40.784,27.891,191
25.132,16.622,44.05,30.981,192
14.88,11.152,33.879,25.505,193
10.048,3.8263,33.071,23.831,194
14.063,4.8599,39.154,32.317,195
21.122,4.7808,43.943,39.876,196
26.758,18.272,46.332,43.308,197
24.205,10.747,40.478,38.752,198
32.604,17.813,47.047,45.583,199
34.732,9.8524,49.732,52.708,200
36.668,23.77,56.407,58.019,201
23.791,7.8666,47.321,47.357,202
26.374,10.728,51.891,50.781,203
14.462,0.10868,38.631,40.542,204
15.304,7.7859,39.78,40.469,205
8.6856,0.48659,23.588,26.618,206
5.0453,1.1872,13.552,20.255,207
-9.9327,-16.628,0.79131,9.4787,208
-1.6819,-12.381,10.837,16.263,209
4.6234,-6.233,15.832,19.09,210
10.245,-0.81082,17.091,24.086,211
15.319,6.7526,25.444,30.525,212
6.5603,-3.0199,16.672,16.751,213
6.7488,4.4163,11.172,6.4287,214
2.685,-3.7619,6.4663,2.038,215
2.7185,6.0884,6.6469,3.2031,216
-11.884,-10.796,-9.929,-15.203,217
-9.4175,0.44505,-8.194,-17.085,218
-13.239,-10.788,-20.675,-27.531,219
-10.651,-7.1525,-18.525,-19.396,220
-22.116,-18.985,-27.109,-17.336,221
-12.257,-5.4206,-16.222,-3.9095,222
-16.301,-14.253,-19.632,-12.782,223
-18.562,-14.136,-18.435,-23.034,224
-26.284,-14.29,-28.39,-33.821,225
-28.033,-16.048,-28.401,-29.371,226
-21.097,-10.012,-20.831,-26.958,227
-21.064,-11.184,-23.545,-41.521,228
-12.01,0.33442,-12.106,-39.044,229
-8.6612,-3.8499,-9.6931,-38.276,230
-17.863,-2.4396,-12.955,-36.551,231
-27.131,-21.08,-19.207,-28.773,232
-9.7281,-8.0821,0.48412,-5.7117,233
-7.711,-14.556,-5.5073,-7.7527,234
-4.7867,2.9404,-3.8966,-3.9313,235
-12.71,-9.705,-13.742,-14.924,236
-4.2622,-3.5449,-9.5835,-10.112,237
-14.586,-8.783,-17.707,-15.957,238
-16.51,-8.9084,-18.895,-17.835,239
-23.896,-13.684,-33.125,-33.154,240
-25.069,-9.571,-39.864,-46.611,241
-19.521,-2.175,-34.169,-55.487,242
-14.789,-3.2446,-20.337,-49.938,243
-13.289,-4.4304,-4.4497,-30.541,244
-14.656,-11.697,-5.2155,-17.663,245
-11.022,-5.6739,-6.1854,-4.9043,246
-10.283,-13.161,-16.377,-3.531,247
0.097875,1.8973,-15.181,-2.4293,248
-5.623,-8.1197,-28.784,-19.118,249
5.0742,10.136,-24.011,-12.705,250
0.48563,-1.3575,-27.004,-14.777,251
7.4295,13.192,-8.4396,4.6696,252
5.7608,9.3557,-7.2846,2.0613,253
